Journee,Team,Adversaire,H/A,resultat,p.,c.
5.0,OGC Nice,Montpellier Hérault SC,A,1 - 1,1,1
5.0,AS Saint-Etienne,SC Bastia,H,1 - 0,1,0
5.0,SC Bastia,AS Saint-Etienne,A,1 - 0,0,1
5.0,Olympique de Marseille,Olympique Lyonnais,H,0 - 0,0,0
5.0,Olympique Lyonnais,Olympique de Marseille,A,0 - 0,0,0
6.0,LOSC,Toulouse FC,H,1 - 2,1,2
6.0,Toulouse FC,LOSC,A,1 - 2,2,1
6.0,Paris Saint-Germain,Dijon FCO,H,3 - 0,3,0
6.0,Dijon FCO,Paris Saint-Germain,A,3 - 0,0,3
6.0,Angers SCO,SM Caen,H,2 - 1,2,1
6.0,SM Caen,Angers SCO,A,2 - 1,1,2
6.0,SC Bastia,AS Nancy Lorraine,H,0 - 0,0,0
6.0,AS Nancy Lorraine,SC Bastia,A,0 - 0,0,0
6.0,EA Guingamp,FC Lorient,H,1 - 0,1,0
6.0,FC Lorient,EA Guingamp,A,1 - 0,0,1
6.0,Olympique Lyonnais,Montpellier Hérault SC,H,5 - 1,5,1
6.0,Montpellier Hérault SC,Olympique Lyonnais,A,5 - 1,1,5
6.0,FC Metz,Girondins de Bordeaux,H,0 - 3,0,3
6.0,Girondins de Bordeaux,FC Metz,A,0 - 3,3,0
6.0,FC Nantes,AS Saint-Etienne,H,0 - 0,0,0
6.0,AS Saint-Etienne,FC Nantes,A,0 - 0,0,0
6.0,OGC Nice,AS Monaco,H,4 - 0,4,0
6.0,AS Monaco,OGC Nice,A,4 - 0,0,4
6.0,Stade Rennais FC,Olympique de Marseille,H,3 - 2,3,2
6.0,Olympique de Marseille,Stade Rennais FC,A,3 - 2,2,3
7.0,Toulouse FC,Paris Saint-Germain,H,2 - 0,2,0
7.0,Paris Saint-Germain,Toulouse FC,A,2 - 0,0,2
7.0,FC Lorient,Olympique Lyonnais,H,1 - 0,1,0
7.0,Olympique Lyonnais,FC Lorient,A,1 - 0,0,1
7.0,SC Bastia,EA Guingamp,H,1 - 0,1,0
7.0,EA Guingamp,SC Bastia,A,1 - 0,0,1
7.0,Girondins de Bordeaux,SM Caen,H,0 - 0,0,0
7.0,SM Caen,Girondins de Bordeaux,A,0 - 0,0,0
7.0,Dijon FCO,Stade Rennais FC,H,3 - 0,3,0
7.0,Stade Rennais FC,Dijon FCO,A,3 - 0,0,3
7.0,AS Monaco,Angers SCO,H,2 - 1,2,1
7.0,Angers SCO,AS Monaco,A,2 - 1,1,2
7.0,Montpellier Hérault SC,FC Metz,H,0 - 1,0,1
7.0,FC Metz,Montpellier Hérault SC,A,0 - 1,1,0
7.0,AS Saint-Etienne,LOSC,H,3 - 1,3,1
7.0,LOSC,AS Saint-Etienne,A,3 - 1,1,3
7.0,AS Nancy Lorraine,OGC Nice,H,0 - 1,0,1
7.0,OGC Nice,AS Nancy Lorraine,A,0 - 1,1,0
7.0,Olympique de Marseille,FC Nantes,H,2 - 1,2,1
7.0,FC Nantes,Olympique de Marseille,A,2 - 1,1,2
8.0,Stade Rennais FC,EA Guingamp,H,1 - 0,1,0
8.0,EA Guingamp,Stade Rennais FC,A,1 - 0,0,1
8.0,Paris Saint-Germain,Girondins de Bordeaux,H,2 - 0,2,0
8.0,Girondins de Bordeaux,Paris Saint-Germain,A,2 - 0,0,2
8.0,SM Caen,Toulouse FC,H,1 - 0,1,0
8.0,Toulouse FC,SM Caen,A,1 - 0,0,1
8.0,Dijon FCO,Montpellier Hérault SC,H,3 - 3,3,3
8.0,Montpellier Hérault SC,Dijon FCO,A,3 - 3,3,3
8.0,LOSC,AS Nancy Lorraine,H,1 - 0,1,0
8.0,AS Nancy Lorraine,LOSC,A,1 - 0,0,1
8.0,FC Metz,AS Monaco,H,0 - 7,0,7
8.0,AS Monaco,FC Metz,A,0 - 7,7,0
8.0,FC Nantes,SC Bastia,H,1 - 0,1,0
8.0,SC Bastia,FC Nantes,A,1 - 0,0,1
8.0,Angers SCO,Olympique de Marseille,H,1 - 1,1,1
8.0,Olympique de Marseille,Angers SCO,A,1 - 1,1,1
8.0,OGC Nice,FC Lorient,H,2 - 1,2,1
8.0,FC Lorient,OGC Nice,A,2 - 1,1,2
8.0,Olympique Lyonnais,AS Saint-Etienne,H,2 - 0,2,0
8.0,AS Saint-Etienne,Olympique Lyonnais,A,2 - 0,0,2
9.0,Toulouse FC,AS Monaco,H,3 - 1,3,1
9.0,AS Monaco,Toulouse FC,A,3 - 1,1,3
9.0,OGC Nice,Olympique Lyonnais,H,2 - 0,2,0
9.0,Olympique Lyonnais,OGC Nice,A,2 - 0,0,2
9.0,AS Nancy Lorraine,Paris Saint-Germain,H,1 - 2,1,2
9.0,Paris Saint-Germain,AS Nancy Lorraine,A,1 - 2,2,1
9.0,SC Bastia,Angers SCO,H,1 - 2,1,2
9.0,Angers SCO,SC Bastia,A,1 - 2,2,1
9.0,EA Guingamp,LOSC,H,1 - 0,1,0
9.0,LOSC,EA Guingamp,A,1 - 0,0,1
9.0,FC Lorient,FC Nantes,H,1 - 2,1,2
9.0,FC Nantes,FC Lorient,A,1 - 2,2,1
9.0,Montpellier Hérault SC,SM Caen,H,3 - 2,3,2
9.0,SM Caen,Montpellier Hérault SC,A,3 - 2,2,3
9.0,Stade Rennais FC,Girondins de Bordeaux,H,1 - 1,1,1
9.0,Girondins de Bordeaux,Stade Rennais FC,A,1 - 1,1,1
9.0,AS Saint-Etienne,Dijon FCO,H,1 - 1,1,1
9.0,Dijon FCO,AS Saint-Etienne,A,1 - 1,1,1
9.0,Olympique de Marseille,FC Metz,H,1 - 0,1,0
9.0,FC Metz,Olympique de Marseille,A,1 - 0,0,1
10.0,AS Monaco,Montpellier Hérault SC,H,6 - 2,6,2
10.0,Montpellier Hérault SC,AS Monaco,A,6 - 2,2,6
10.0,Olympique Lyonnais,EA Guingamp,H,1 - 3,1,3
10.0,EA Guingamp,Olympique Lyonnais,A,1 - 3,3,1
10.0,Angers SCO,Toulouse FC,H,0 - 0,0,0
10.0,Toulouse FC,Angers SCO,A,0 - 0,0,0
10.0,Girondins de Bordeaux,AS Nancy Lorraine,H,1 - 1,1,1
10.0,AS Nancy Lorraine,Girondins de Bordeaux,A,1 - 1,1,1
10.0,Dijon FCO,FC Lorient,H,1 - 0,1,0
10.0,FC Lorient,Dijon FCO,A,1 - 0,0,1
10.0,LOSC,SC Bastia,H,2 - 1,2,1
10.0,SC Bastia,LOSC,A,2 - 1,1,2
